Data;Czas;Kierunek;Przewoznik;Rejs;;Lotnisko wylotowe
2025-04-17;02:10;Hurghada (HRG);Enter Air;ENT 4323;;"POZ"
2025-04-17;05:40;Warszawa (WAW);PLL LOT;LO 3942;;"POZ"
2025-04-17;06:00;Pafos (PFO);Ryanair;FR 637;;"POZ"
2025-04-17;06:00;Bristol (BRS);Ryanair;FR 7948;;"POZ"
2025-04-17;06:00;Kopenhaga (CPH);Ryanair;FR 8522;;"POZ"
2025-04-17;06:05;Monachium (MUC);Lufthansa;LH 1641;;"POZ"
2025-04-17;06:10;Birmingham (BHX);Ryanair;FR 5073;;"POZ"
2025-04-17;06:15;Kopenhaga (CPH);SAS;SK 2756;;"POZ"
2025-04-17;06:25;Frankfurt (FRA);Lufthansa;LH 1391;;"POZ"
2025-04-17;06:30;Amsterdam (AMS);KLM;KL 1332;;"POZ"
2025-04-17;07:45;Warszawa (WAW);PLL LOT;LO 3952;;"POZ"
2025-04-17;07:55;Palermo (PMO);Ryanair;FR 4373;;"POZ"
2025-04-17;08:15;Kutaisi (KUT);Wizz Air;W6 7942;;"POZ"
2025-04-17;08:35;Rzym - Ciampino (CIA);Ryanair;FR 7171;;"POZ"
2025-04-17;08:55;Malta (MLA);Ryanair;FR 5226;;"POZ"
2025-04-17;09:20;Londyn - Stansted (STN);Ryanair;FR 1751;;"POZ"
2025-04-17;09:30;Saloniki (SKG);Ryanair;FR 2552;;"POZ"
2025-04-17;09:30;Hurghada (HRG);Air Cairo;SM 3614;;"POZ"
2025-04-17;10:30;Frankfurt (FRA);Lufthansa;LH 1387;;"POZ"
2025-04-17;10:50;Edynburg (EDI);Ryanair;FR 6619;;"POZ"
2025-04-17;11:15;Bruksela - Charleroi (CRL);Ryanair;FR 5000;;"POZ"
2025-04-17;11:25;Londyn - Luton (LTN);Wizz Air;W9 5390;;"POZ"
2025-04-17;11:30;Oslo - Torp (TRF);Ryanair;FR 1764;;"POZ"
2025-04-17;11:35;Hurghada (HRG);Corendon;XR 508;;"POZ"
2025-04-17;12:00;Warszawa (WAW);PLL LOT;LO 3946;;"POZ"
2025-04-17;13:00;Teneryfa (TFS);Enter Air;ENT 7021;;"POZ"
2025-04-17;13:15;Antalya (AYT);Mavi Gök Airlines;4M 876;;"POZ"
2025-04-17;13:25;Monachium (MUC);Lufthansa;LH 1637;;"POZ"
2025-04-17;14:10;Zadar (ZAD);Ryanair;FR 7246;;"POZ"
2025-04-17;14:15;Amsterdam (AMS);KLM;KL 1334;;"POZ"
2025-04-17;14:35;Kopenhaga (CPH);SAS;SK 1756;;"POZ"
2025-04-17;14:45;Frankfurt (FRA);Lufthansa;LH 1389;;"POZ"
2025-04-17;14:50;Warszawa (WAW);PLL LOT;LO 3944;;"POZ"
2025-04-17;15:20;Walencja (VLC);Ryanair;FR 4741;;"POZ"
2025-04-17;15:25;Paryż - Beauvais (BVA);Ryanair;FR 5050;;"POZ"
2025-04-17;15:50;Barcelona - Girona (GRO);Ryanair;FR 5123;;"POZ"
2025-04-17;16:05;Mediolan - Bergamo (BGY);Ryanair;FR 3594;;"POZ"
2025-04-17;18:20;Warszawa (WAW);PLL LOT;LO 3948;;"POZ"
2025-04-17;18:30;Dublin (DUB);Ryanair;FR 1975;;"POZ"
2025-04-17;20:15;Bari (BRI);Ryanair;FR 1217;;"POZ"
2025-04-17;20:25;Cagliari (CAG);Ryanair;FR 7220;;"POZ"
2025-04-17;20:30;Londyn - Stansted (STN);Ryanair;FR 2337;;"POZ"
2025-04-17;21:05;Malaga (AGP);Ryanair;FR 6215;;"POZ"
